numPNsPerKC,numPNKCsynapsesPerKC,meanWPerKC,PNDistToPedPerKC,numAPLKCsynapsesPerKC,KCindex,bodyId,subtype
5,66,13.2,70.92421015625,2,544,705432638,KCab-s_R
5,90,18,61.08375234375,9,545,705432922,KCab-m_R
6,82,13.6666666666667,92.93964453125,11,546,705774051,KCab-s_R
7,139,19.8571428571429,64.0624207589286,18,547,722450065,KCg-m_R
8,187,23.375,79.1419248046875,27,549,722467632,KCg-m_R
8,116,14.5,62.785080078125,21,551,722471778,KCg-m_R
8,127,15.875,89.9273185763889,31,553,722821616,KCg-m_R
6,139,23.1666666666667,52.254689453125,29,554,723153828,KCg-m_R
7,142,20.2857142857143,59.802119140625,31,555,723158245,KCg-m_R
7,133,19,76.7849637276786,24,556,723167312,KCg-m_R
8,132,16.5,59.1975512695312,25,557,723495119,KCg-m_R
3,66,22,35.3974895833333,19,561,723508162,KCg-m_R
8,151,18.875,86.29359375,19,562,723848801,KCg-m_R
10,182,18.2,68.321001953125,21,563,723849351,KCg-m_R
4,41,10.25,90.66779375,10,564,723853340,KCab-s_R
4,55,13.75,54.27162734375,6,565,724134138,KCab-m_R
7,134,19.1428571428571,94.9045970982143,26,566,724142845,KCg-m_R
6,148,24.6666666666667,71.3613678385417,16,567,724522447,KCg-m_R
10,168,16.8,56.7844176136364,21,568,724531411,KCg-m_R
8,148,18.5,55.1892475585938,18,569,724867606,KCg-m_R
6,130,21.6666666666667,48.1466220703125,20,570,724867917,KCg-m_R
7,108,15.4285714285714,62.4801666666667,25,571,724876683,KCg-m_R
7,142,20.2857142857143,74.9716886160714,25,572,724885340,KCg-m_R
3,71,23.6666666666667,73.5582643229167,10,573,725174424,KCab-m_R
6,114,19,68.2204889322917,22,574,725200110,KCg-m_R
9,140,15.5555555555556,66.7792530381944,22,575,725217343,KCg-m_R
3,49,16.3333333333333,55.8620481770833,9,576,735785459,KCab-m_R
6,94,15.6666666666667,60.1504173177083,9,577,735785541,KCab-s_R
6,98,16.3333333333333,65.5254303385417,10,578,735785583,KCab-s_R
5,62,12.4,60.8537765625,16,579,735785639,KCab-c_R
6,90,15,71.651375,8,580,735785741,KCab-s_R
6,96,16,77.5100065104167,12,581,735790008,KCab-s_R
5,82,16.4,74.8754546875,12,582,736117977,KCa'b'-m_R
4,53,13.25,59.203880859375,17,583,736122569,KCab-m_R
4,66,16.5,67.465208984375,19,584,736126563,KCab-c_R
3,75,25,53.4275755208333,14,585,736126644,KCab-c_R
6,83,13.8333333333333,73.3961116071429,14,586,736126668,KCab-c_R
2,40,20,67.07658984375,13,587,736126717,KCab-c_R
3,65,21.6666666666667,84.14371875,5,588,736126732,KCab-m_R
4,73,18.25,55.3562607421875,6,589,736126746,KCab-m_R
6,93,15.5,56.0948131510417,8,590,736463614,KCab-m_R
4,77,19.25,61.98419140625,14,591,736467526,KCab-m_R
3,72,24,66.5901901041667,10,592,736467640,KCab-m_R
6,73,12.1666666666667,60.9899231770833,6,593,736808522,KCa'b'-ap2_R
7,120,17.1428571428571,85.6767354910714,10,594,736808904,KCab-s_R
5,88,17.6,72.370646875,10,595,736813212,KCab-s_R
9,86,9.55555555555556,62.5892673611111,19,596,737149820,KCa'b'-ap2_R
5,64,12.8,65.777059375,11,598,737150041,KCa'b'-ap2_R
4,50,12.5,79.843861328125,16,600,753489735,KCab-c_R
4,35,8.75,86.2688203125,10,601,753489892,KCab-c_R
6,82,13.6666666666667,77.2578059895833,20,602,753489951,KCab-c_R
5,128,25.6,73.7237643229167,21,604,753839564,KCg-m_R
7,146,20.8571428571429,46.8438359375,28,605,753847960,KCg-m_R
4,32,8,54.43254765625,12,606,753852265,KCab-c_R
3,46,15.3333333333333,57.5775390625,14,607,753852396,KCab-c_R
7,111,15.8571428571429,50.6202756696429,24,608,753852432,KCg-m_R
1,3,3,49.19530078125,3,609,754163207,KCab-c_R
5,47,9.4,62.007430078125,7,610,754184667,KCab-s_R
4,64,16,52.236412109375,16,611,754188911,KCg-m_R
